synset_id	synset str	lemma	variant
363350	(ununhexium 1* (sbst) [sbst] | Uuh 1* (sbst), element 116 1* (sbst), atomic number 116 1* (sbst))	atomic number 116	1
363350	(ununhexium 1* (sbst) [sbst] | Uuh 1* (sbst), element 116 1* (sbst), atomic number 116 1* (sbst))	element 116	1
363349	(ununbium 1* (sbst) [sbst] | Uub 1* (sbst), element 112 1* (sbst), atomic number 112 1* (sbst))	atomic number 112	1
363349	(ununbium 1* (sbst) [sbst] | Uub 1* (sbst), element 112 1* (sbst), atomic number 112 1* (sbst))	element 112	1
363348	(tungsten 1* (sbst) [sbst] | wolfram 1* (sbst), W 1* (sbst), atomic number 74 1* (sbst))	atomic number 74	1
363347	(titanium 1* (sbst) [sbst] | Ti 1* (sbst), atomic number 22 1* (sbst))	atomic number 22	1
363346	(tin 1* (sbst) [sbst] | Sn 1* (sbst), atomic number 50 1* (sbst))	atomic number 50	1
363345	(thulium 1* (sbst) [sbst] | Tm 1* (sbst), atomic number 69 1* (sbst))	atomic number 69	1
363343	(thorium 1* (sbst) [sbst] | Th 2* (sbst), atomic number 90 1* (sbst))	atomic number 90	1
363342	(thallium 1* (sbst) [sbst] | Tl 1* (sbst), atomic number 81 1* (sbst))	atomic number 81	1
363341	(terbium 1* (sbst) [sbst] | Tb 1* (sbst), atomic number 65 1* (sbst))	atomic number 65	1
363340	(tellurium 1* (sbst) [sbst] | Te 1* (sbst), atomic number 52 1* (sbst))	atomic number 52	1
363339	(technetium 1* (sbst) [sbst] | Tc 1* (sbst), atomic number 43 1* (sbst))	atomic number 43	1
363337	(tantalum 1* (sbst) [sbst] | Ta 1* (sbst), atomic number 73 1* (sbst))	atomic number 73	1
363336	(sulfur 1* (sbst) [sbst] | S 2* (sbst), sulphur 1* (sbst), atomic number 16 1* (sbst))	atomic number 16	1
363335	(strontium 90 1* (sbst) [sbst] | )	strontium 90	1
363334	(strontium 1* (sbst) [sbst] | Sr 1* (sbst), atomic number 38 1* (sbst))	atomic number 38	1
363333	(sodium 1* (sbst) [sbst] | Na 1* (sbst), atomic number 11 1* (sbst))	atomic number 11	1
363332	(silver 1* (sbst) [sbst] | Ag 1* (sbst), atomic number 47 1* (sbst))	atomic number 47	1
363331	(silicon 1* (sbst) [sbst] | Si 1* (sbst), atomic number 14 1* (sbst))	atomic number 14	1
363330	(selenium 1* (sbst) [sbst] | Se 1* (sbst), atomic number 34 1* (sbst))	atomic number 34	1
363329	(seaborgium 1* (sbst) [sbst] | Sg 1* (sbst), element 106 1* (sbst), atomic number 106 1* (sbst))	atomic number 106	1
363329	(seaborgium 1* (sbst) [sbst] | Sg 1* (sbst), element 106 1* (sbst), atomic number 106 1* (sbst))	element 106	1
363328	(scandium 1* (sbst) [sbst] | Sc 1* (sbst), atomic number 21 1* (sbst))	atomic number 21	1
363327	(samarium 1* (sbst) [sbst] | Sm 1* (sbst), atomic number 62 1* (sbst))	atomic number 62	1
363326	(rutherfordium 1* (sbst) [sbst] | Rf 2* (sbst), unnilquadium 1* (sbst), Unq 1* (sbst), element 104 1* (sbst), atomic number 104 1* (sbst))	atomic number 104	1
363326	(rutherfordium 1* (sbst) [sbst] | Rf 2* (sbst), unnilquadium 1* (sbst), Unq 1* (sbst), element 104 1* (sbst), atomic number 104 1* (sbst))	element 104	1
363325	(ruthenium 1* (sbst) [sbst] | Ru 1* (sbst), atomic number 44 1* (sbst))	atomic number 44	1
363324	(rubidium 1* (sbst) [sbst] | Rb 1* (sbst), atomic number 37 1* (sbst))	atomic number 37	1
363323	(roentgenium 1* (sbst) [sbst] | Rg 1* (sbst), element 111 1* (sbst), atomic number 111 1* (sbst))	atomic number 111	1
363323	(roentgenium 1* (sbst) [sbst] | Rg 1* (sbst), element 111 1* (sbst), atomic number 111 1* (sbst))	element 111	1
363322	(rhodium 1* (sbst) [sbst] | Rh 2* (sbst), atomic number 45 1* (sbst))	atomic number 45	1
363321	(rhenium 1* (sbst) [sbst] | Re 1* (sbst), atomic number 75 1* (sbst))	atomic number 75	1
363320	(radon 1* (sbst) [sbst] | Rn 1* (sbst), atomic number 86 1* (sbst))	atomic number 86	1
363319	(radium 1* (sbst) [sbst] | Ra 1* (sbst), atomic number 88 1* (sbst))	atomic number 88	1
363318	(protactinium 1* (sbst) [sbst] | protoactinium 1* (sbst), Pa 2* (sbst), atomic number 91 1* (sbst))	atomic number 91	1
363317	(promethium 1* (sbst) [sbst] | Pm 2* (sbst), atomic number 61 1* (sbst))	atomic number 61	1
363316	(praseodymium 1* (sbst) [sbst] | Pr 1* (sbst), atomic number 59 1* (sbst))	atomic number 59	1
363315	(potassium 1* (sbst) [sbst] | K 2* (sbst), atomic number 19 1* (sbst))	atomic number 19	1
363314	(polonium 1* (sbst) [sbst] | Po 1* (sbst), atomic number 84 1* (sbst))	atomic number 84	1
363313	(weapons plutonium 1* (sbst) [sbst] | weapons-grade plutonium 1* (sbst))	weapons-grade plutonium	1
363313	(weapons plutonium 1* (sbst) [sbst] | weapons-grade plutonium 1* (sbst))	weapons plutonium	1
363312	(plutonium 239 1* (sbst) [sbst] | )	plutonium 239	1
363311	(plutonium 1* (sbst) [sbst] | Pu 1* (sbst), atomic number 94 1* (sbst))	atomic number 94	1
363310	(platinum 1* (sbst) [sbst] | Pt 1* (sbst), atomic number 78 1* (sbst))	atomic number 78	1
363309	(phosphorus 1* (sbst) [sbst] | P 1* (sbst), atomic number 15 1* (sbst))	atomic number 15	1
363307	(palladium 1* (sbst) [sbst] | Pd 1* (sbst), atomic number 46 1* (sbst))	atomic number 46	1
363306	(liquid oxygen 1* (sbst) [sbst] | LOX 1* (sbst))	liquid oxygen	1
363305	(oxygen 1* (sbst) [sbst] | O 1* (sbst), atomic number 8 1* (sbst))	atomic number 8	1
363304	(osmium 1* (sbst) [sbst] | Os 2* (sbst), atomic number 76 1* (sbst))	atomic number 76	1
363303	(nobelium 1* (sbst) [sbst] | No 2* (sbst), atomic number 102 1* (sbst))	atomic number 102	1
363301	(nitrogen 1* (sbst) [sbst] | N 1* (sbst), atomic number 7 1* (sbst))	atomic number 7	1
363299	(niobium 1* (sbst) [sbst] | Nb 1* (sbst), atomic number 41 1* (sbst))	atomic number 41	1
363298	(nickel 1* (sbst) [sbst] | Ni 1* (sbst), atomic number 28 1* (sbst))	atomic number 28	1
363297	(neptunium 1* (sbst) [sbst] | Np 1* (sbst), atomic number 93 1* (sbst))	atomic number 93	1
363296	(neon 1* (sbst) [sbst] | Ne 1* (sbst), atomic number 10 1* (sbst))	atomic number 10	1
363295	(neodymium 1* (sbst) [sbst] | Nd 1* (sbst), atomic number 60 1* (sbst))	atomic number 60	1
363294	(molybdenum 1* (sbst) [sbst] | Mo 2* (sbst), atomic number 42 1* (sbst))	atomic number 42	1
363293	(mercury 1* (sbst) [sbst] | quicksilver 1* (sbst), hydrargyrum 1* (sbst), Hg 1* (sbst), atomic number 80 1* (sbst))	atomic number 80	1
363292	(mendelevium 1* (sbst) [sbst] | Md 1* (sbst), Mv 2* (sbst), atomic number 101 1* (sbst))	atomic number 101	1
363291	(meitnerium 1* (sbst) [sbst] | Mt 1* (sbst), element 109 1* (sbst), atomic number 109 1* (sbst))	atomic number 109	1
363291	(meitnerium 1* (sbst) [sbst] | Mt 1* (sbst), element 109 1* (sbst), atomic number 109 1* (sbst))	element 109	1
363290	(manganese 1* (sbst) [sbst] | Mn 1* (sbst), atomic number 25 1* (sbst))	atomic number 25	1
363289	(magnesium 1* (sbst) [sbst] | Mg 2* (sbst), atomic number 12 1* (sbst))	atomic number 12	1
363288	(lutetium 1* (sbst) [sbst] | lutecium 1* (sbst), Lu 1* (sbst), atomic number 71 1* (sbst))	atomic number 71	1
363287	(lithium 1* (sbst) [sbst] | Li 1* (sbst), atomic number 3 1* (sbst))	atomic number 3	1
363286	(lead 2* (sbst) [sbst] | Pb 1* (sbst), atomic number 82 1* (sbst))	atomic number 82	1
