synset_id	synset str	lemma	variant
371650	(clock out 1* (cpor) [cpor] | punch out 1* (cpor), clock off 1* (cpor))	punch out	1
371650	(clock out 1* (cpor) [cpor] | punch out 1* (cpor), clock off 1* (cpor))	clock out	1
371649	(check out 2* (cpor) [cpor] | )	check out	2
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	clock on	1
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	punch in	1
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	clock in	1
371647	(check in 1* (cpor) [cpor] | sign in 1* (cpor))	sign in	1
371647	(check in 1* (cpor) [cpor] | sign in 1* (cpor))	check in	1
371638	(talk turkey 1* (cpor) [cpor] | )	talk turkey	1
371634	(run on 1* (cpor) [cpor] | )	run on	1
371629	(talk down 2* (cpor) [cpor] | )	talk down	2
371614	(recur 2* (cpor) [cpor] | go back 2* (cpor))	go back	2
371613	(hark back 1* (cpor) [cpor] | return 4* (cpor), come back 2* (cpor), recall 2* (cpor))	come back	2
371613	(hark back 1* (cpor) [cpor] | return 4* (cpor), come back 2* (cpor), recall 2* (cpor))	hark back	1
371599	(embroider 2* (cpor) [cpor] | pad 1* (cpor), lard 2* (cpor), embellish 1* (cpor), aggrandize 1* (cpor), aggrandise 1* (cpor), blow up 4* (cpor), dramatize 3* (cpor), dramatise 3* (cpor))	blow up	4
371597	(elaborate 1* (cpor) [cpor] | lucubrate 1* (cpor), expatiate 1* (cpor), exposit 2* (cpor), enlarge 4* (cpor), flesh out 2* (cpor), expand 6* (cpor), expound 1* (cpor), dilate 2* (cpor))	flesh out	2
371569	(take a dare 1* (cpor) [cpor] | )	take a dare	1
371568	(take a dare 2* (cpor) [cpor] | pick up the gauntlet 1* (cpor))	pick up the gauntlet	1
371568	(take a dare 2* (cpor) [cpor] | pick up the gauntlet 1* (cpor))	take a dare	2
371567	(remit 4* (cpor) [cpor] | remand 1* (cpor), send back 1* (cpor))	send back	1
371566	(tally 3* (cpor) [cpor] | chalk up 2* (cpor))	chalk up	2
371565	(total 2* (cpor) [cpor] | tot 1* (cpor), tot up 1* (cpor), sum 2* (cpor), sum up 3* (cpor), summate 1* (cpor), tote up 1* (cpor), add 5* (cpor), add together 1* (cpor), tally 4* (cpor), add up 2* (cpor))	add up	2
371565	(total 2* (cpor) [cpor] | tot 1* (cpor), tot up 1* (cpor), sum 2* (cpor), sum up 3* (cpor), summate 1* (cpor), tote up 1* (cpor), add 5* (cpor), add together 1* (cpor), tally 4* (cpor), add up 2* (cpor))	add together	1
